名称,省份,位置,音阶,调式,协和度,曲折度,节奏变化,平均音长,0,1,2,3,4,5,6,7,8,9,10,11,12
小小扇子四角轻,江苏省,扬州市,五声,宫调,0.51835443,3.269136637,0.842893083,1.951219512,0.012048193,0.277108434,0,0.13253012,0,0.156626506,0,0,0.204819277,0,0.21686747,0,0
小小摇车一丈三,江苏省,南京市,六声,羽调,0.314666667,2.306660003,0.630893268,3.04,0.019607843,0.137254902,0,0.156862745,0,0.294117647,0,0,0.137254902,0,0.196078431,0,0.058823529
小小花船一身红,江苏省,宜兴市,五声,徵调,0.465073529,5.004953284,0.458673329,2.280991736,0.008196721,0.172131148,0,0.155737705,0,0.06557377,0,0,0.31147541,0,0.286885246,0,0
小小花船两头翘,江苏省,东台市,六声,羽调,0.237313433,3.832322633,0.731460595,1.619047619,0,0.011904762,0,0.261904762,0,0.19047619,0,0,0.178571429,0,0.154761905,0,0.202380952
小小蜜蜂头戴金,江苏省,淮阴市,六声,宫调,0.414084507,2.885995004,0.816850886,1.674418605,0,0.162790698,0,0.220930233,0,0.186046512,0.034883721,0,0.279069767,0,0.11627907,0,0
小小青山一字排,江苏省,无锡市,五声,徵调,0.4359375,4.311638114,0.481430315,3.209876543,0,0.160493827,0,0.222222222,0,0.222222222,0,0,0.148148148,0,0.24691358,0,0
小小鸭蛋两头光(数鸭蛋),江苏省,高邮市,五声,商调,0.346031746,2.736203535,1.13052031,2.064516129,0.088235294,0.117647059,0,0.338235294,0,0.25,0,0,0.132352941,0,0.073529412,0,0
小小鼓棒五寸长(二),江苏省,邳州市,清乐,徵调,0.557471264,3.800366527,0.870857965,3.450980392,0.105263158,0.122807018,0,0.263157895,0,0.01754386,0.01754386,0,0.140350877,0,0.280701754,0,0.052631579
小拜年,江苏省,丰县,五声,宫调,0.391428571,2.489756814,0.614259566,2.117647059,0,0.147058824,0,0.117647059,0,0.352941176,0,0,0.264705882,0,0.117647059,0,0
小豆芽,江苏省,徐州市,六声,商调,0.317721519,3.063641477,0.378112087,2.285714286,0,0.185714286,0,0.228571429,0,0.285714286,0,0,0.142857143,0,0.142857143,0,0.014285714
少织二尺好绫罗,江苏省,溧水县,六声,宫调,0.284453782,3.215603485,0.97894501,3.2,0,0.066666667,0,0.173333333,0,0.333333333,0,0,0.24,0,0.16,0,0.026666667
